,CDSCode,Zip,median_income,mean_income,County,Distrinct,School Name,District Type,School Type,Low Grade,High Grade,Enrollment (K-12),Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),AvgScrRead,AvgScrMath,AvgScrWrite,FreeLunch,ReducedLunch,FullLunch
20,01611920133629,94541.0,57895,71243,Alameda,,Hayward High,Unified School District,High Schools (Public),9,12,1644.0,1644.0,1057.0,0.64294403892944,1218.0,0.740875912408759,430.0,440.0,433.0,0.64294403892944,0.09793187347931909,0.25912408759124095
21,01613090111799,94541.0,57895,71243,Alameda,,East Bay Arts High,Unified School District,Alternative Schools of Choice,9,12,213.0,213.0,107.0,0.502347417840376,121.0,0.568075117370892,423.0,422.0,418.0,0.502347417840376,0.06572769953051605,0.431924882629108
22,01611920138339,94544.0,59699,74143,Alameda,,Tennyson High,Unified School District,High Schools (Public),9,12,1324.0,1324.0,953.0,0.719788519637462,1078.0,0.814199395770393,424.0,425.0,427.0,0.719788519637462,0.09441087613293098,0.18580060422960698
23,01612000133397,94550.0,102952,124896,Alameda,,Granada High,Unified School District,High Schools (Public),9,12,2017.0,2017.0,291.0,0.14427367377293,354.0,0.175508180466039,544.0,567.0,530.0,0.14427367377293,0.03123450669310901,0.824491819533961
24,01612000134536,94550.0,102952,124896,Alameda,,Livermore High,Unified School District,High Schools (Public),9,12,1771.0,1771.0,348.0,0.196499153020892,430.0,0.242800677583286,543.0,554.0,536.0,0.196499153020892,0.046301524562394,0.757199322416714
25,01612420134668,94587.0,82564,99892,Alameda,,James Logan High,Unified School District,High Schools (Public),9,12,3912.0,3912.0,1246.0,0.318507157464213,1556.0,0.397750511247444,499.0,522.0,494.0,0.318507157464213,0.079243353783231,0.602249488752556
26,01612590100065,94605.0,57610,75229,Alameda,,Oakland Unity High,Unified School District,High Schools (Public),9,12,311.0,311.0,204.0,0.655948553054662,244.0,0.784565916398714,384.0,396.0,399.0,0.655948553054662,0.12861736334405194,0.21543408360128602
27,01612590125161,94605.0,57610,75229,Alameda,,Castlemont High,Unified School District,High Schools (Public),9,12,505.0,505.0,421.0,0.833663366336634,447.0,0.885148514851485,355.0,348.0,351.0,0.833663366336634,0.05148514851485109,0.11485148514851495
28,01612590100701,94606.0,37288,50997,Alameda,,MetWest High,Unified School District,High Schools (Public),9,12,161.0,161.0,110.0,0.683229813664596,128.0,0.795031055900621,418.0,387.0,385.0,0.683229813664596,0.11180124223602494,0.20496894409937905
29,01612590110189,94607.0,34192,56699,Alameda,,McClymonds High,Unified School District,High Schools (Public),9,12,286.0,286.0,235.0,0.821678321678322,253.0,0.884615384615385,355.0,350.0,353.0,0.821678321678322,0.06293706293706303,0.11538461538461497
30,01612590111856,94607.0,34192,56699,Alameda,,American Indian Public High,Unified School District,High Schools (Public),9,12,214.0,214.0,113.0,0.52803738317757,151.0,0.705607476635514,505.0,603.0,514.0,0.52803738317757,0.17757009345794406,0.29439252336448596
31,01612590114868,94607.0,34192,56699,Alameda,,Oakland Charter High,Unified School District,High Schools (Public),9,12,350.0,350.0,234.0,0.668571428571429,280.0,0.8,520.0,583.0,524.0,0.668571428571429,0.131428571428571,0.19999999999999996
32,01612590115238,94601.0,39601,51791,Alameda,,ARISE High,Unified School District,High Schools (Public),9,12,258.0,258.0,205.0,0.794573643410853,233.0,0.903100775193798,359.0,367.0,369.0,0.794573643410853,0.10852713178294504,0.09689922480620194
33,01612590125716,94601.0,39601,51791,Alameda,,Fremont High,Unified School District,High Schools (Public),9,12,811.0,811.0,591.0,0.728729963008631,613.0,0.755856966707768,399.0,398.0,392.0,0.728729963008631,0.02712700369913701,0.24414303329223197
34,01612590115667,94609.0,56378,74010,Alameda,,Oakland International High,Unified School District,Alternative Schools of Choice,9,12,380.0,380.0,338.0,0.889473684210526,353.0,0.928947368421053,308.0,352.0,327.0,0.889473684210526,0.039473684210526994,0.07105263157894703
35,01612590135905,94610.0,73850,111780,Alameda,,Oakland High,Unified School District,High Schools (Public),9,12,1515.0,1515.0,1206.0,0.796039603960396,1331.0,0.878547854785479,414.0,436.0,417.0,0.796039603960396,0.08250825082508306,0.12145214521452097
36,01612590136051,94611.0,107577,161008,Alameda,,Oakland Technical High,Unified School District,High Schools (Public),9,12,2014.0,2014.0,944.0,0.468718967229394,1124.0,0.558093346573982,515.0,520.0,503.0,0.468718967229394,0.08937437934458803,0.441906653426018
37,01612750136515,94611.0,107577,161008,Alameda,,Piedmont High,Unified School District,High Schools (Public),9,12,784.0,784.0,6.0,0.0076530612244898,6.0,0.0076530612244898,621.0,629.0,625.0,0.0076530612244898,0.0,0.9923469387755102
38,01612590137943,94619.0,78676,106199,Alameda,,Skyline High,Unified School District,High Schools (Public),9,12,1845.0,1845.0,1273.0,0.689972899728997,1438.0,0.77940379403794,447.0,446.0,447.0,0.689972899728997,0.08943089430894302,0.22059620596205998
39,01612910137588,94577.0,64660,80827,Alameda,,San Leandro High,Unified School District,High Schools (Public),9,12,2601.0,2601.0,1258.0,0.483660130718954,1563.0,0.600922722029988,461.0,462.0,460.0,0.483660130718954,0.117262591311034,0.399077277970012
40,01613090114421,94580.0,71177,81917,Alameda,,KIPP King Collegiate High,Unified School District,High Schools (Public),9,12,528.0,528.0,249.0,0.471590909090909,378.0,0.715909090909091,482.0,475.0,478.0,0.471590909090909,0.24431818181818205,0.28409090909090895
41,01613090130849,94580.0,71177,81917,Alameda,,Arroyo High,Unified School District,High Schools (Public),9,12,1784.0,1784.0,666.0,0.373318385650224,873.0,0.489349775784753,489.0,521.0,479.0,0.373318385650224,0.11603139013452901,0.510650224215247
42,01613090137810,94580.0,71177,81917,Alameda,,San Lorenzo High,Unified School District,High Schools (Public),9,12,1407.0,1407.0,910.0,0.646766169154229,1073.0,0.762615493958778,423.0,447.0,426.0,0.646766169154229,0.11584932480454901,0.23738450604122197
43,01750930132704,94568.0,113616,129133,Alameda,,Dublin High,Unified School District,High Schools (Public),9,12,2062.0,2062.0,162.0,0.078564500484966,205.0,0.0994180407371484,534.0,565.0,533.0,0.078564500484966,0.020853540252182404,0.9005819592628516
44,01751010130096,94588.0,127684,147715,Alameda,,Foothill High,Unified School District,High Schools (Public),9,12,2127.0,2127.0,79.0,0.0371415138692995,109.0,0.0512458862247297,585.0,607.0,587.0,0.0371415138692995,0.014104372355430196,0.9487541137752703
45,01751010130583,94566.0,120401,146282,Alameda,,Amador Valley High,Unified School District,High Schools (Public),9,12,2612.0,2612.0,100.0,0.0382848392036753,143.0,0.0547473200612557,596.0,614.0,592.0,0.0382848392036753,0.016462480857580397,0.9452526799387443
46,03739810330753,95685.0,60648,84945,Amador,,Amador High,Unified School District,High Schools (Public),9,12,628.0,628.0,165.0,0.262738853503185,216.0,0.343949044585987,532.0,523.0,504.0,0.262738853503185,0.08121019108280203,0.656050955414013
47,03739810334755,95642.0,43981,60342,Amador,,Argonaut High,Unified School District,High Schools (Public),9,12,547.0,547.0,149.0,0.272394881170018,179.0,0.327239488117002,508.0,492.0,502.0,0.272394881170018,0.05484460694698401,0.672760511882998
48,04614240120394,95926.0,37296,57868,Butte,,Inspire School of Arts and Sciences,Unified School District,High Schools (Public),9,12,443.0,443.0,111.0,0.250564334085779,145.0,0.327313769751693,602.0,552.0,562.0,0.250564334085779,0.07674943566591402,0.672686230248307
49,04614240431676,95926.0,37296,57868,Butte,,Chico High,Unified School District,High Schools (Public),9,12,1769.0,1769.0,557.0,0.314867156585642,648.0,0.366308648954211,543.0,549.0,521.0,0.314867156585642,0.051441492368568986,0.633691351045789
50,04614240437558,95926.0,37296,57868,Butte,,Pleasant Valley High,Unified School District,High Schools (Public),9,12,1792.0,1792.0,481.0,0.268415178571429,573.0,0.319754464285714,526.0,555.0,508.0,0.268415178571429,0.05133928571428503,0.680245535714286
51,04614080430827,95917.0,44500,64524,Butte,,Biggs High,Unified School District,High Schools (Public),9,12,147.0,147.0,36.0,0.244897959183673,36.0,0.244897959183673,433.0,429.0,406.0,0.244897959183673,0.0,0.755102040816327
52,04614320433201,95938.0,60750,78977,Butte,,Durham High,Unified School District,High Schools (Public),9,12,294.0,294.0,65.0,0.22108843537415,103.0,0.350340136054422,498.0,484.0,472.0,0.22108843537415,0.129251700680272,0.649659863945578
