Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter School Number,Charter Funding Type,IRC,Low Grade,High Grade,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Free Meal Count (Ages 5-17),Percent (%) Eligible Free (Ages 5-17),FRPM Count (Ages 5-17),Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2014-2015,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,0,,,0,1,Adult,60.0,59.0,0.983333333333333,59.0,0.983333333333333,40.0,39.0,0.975,39.0,0.975,1
2014-2015,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,0,,,0,P,12,410.0,403.0,0.982926829268293,403.0,0.982926829268293,335.0,330.0,0.985074626865672,330.0,0.985074626865672,1
2014-2015,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,29.0,1.0,0.0344827586206897,1.0,0.0344827586206897,27.0,1.0,0.037037037037037,1.0,0.037037037037037,1
2014-2015,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,9,12,170.0,39.0,0.229411764705882,52.0,0.305882352941176,167.0,38.0,0.227544910179641,50.0,0.29940119760479,1
2014-2015,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,588.0,322.0,0.547619047619048,398.0,0.67687074829932,588.0,322.0,0.547619047619048,398.0,0.67687074829932,1
2014-2015,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,1,1066,Directly funded,1,K,12,476.0,117.0,0.245798319327731,147.0,0.308823529411765,470.0,115.0,0.24468085106383,145.0,0.308510638297872,1
2014-2015,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,1,1181,Directly funded,0,6,8,508.0,160.0,0.31496062992126,193.0,0.37992125984252,508.0,160.0,0.31496062992126,193.0,0.37992125984252,1
2014-2015,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,K,8,321.0,114.0,0.355140186915888,134.0,0.417445482866044,312.0,111.0,0.355769230769231,131.0,0.419871794871795,1
2014-2015,01,61119,0128199,Alameda,Alameda Unified,Encinal Junior Jets,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,229.0,103.0,0.449781659388646,128.0,0.558951965065502,229.0,103.0,0.449781659388646,128.0,0.558951965065502,1
2014-2015,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1746.0,320.0,0.183276059564719,396.0,0.22680412371134,1675.0,307.0,0.183283582089552,378.0,0.225671641791045,1
