Zip,median_income,mean_income
93023,64843,97371
93030,57860,73709
93033,55210,67253
93035,83038,101062
93036,65701,78290
93040,45877,57803
93041,52371,64926
93060,54782,69207
93063,83974,98508
93065,94173,116954
93066,75380,141327
93067,75862,117542
93101,54945,71512
93103,67383,102371
93105,81308,114888
93108,125272,215858
93109,99638,140440
93110,75915,113367
93111,94933,117326
93117,55801,76217
93201,27938,40198
93202,38733,41188
93203,35429,43044
93204,29302,37227
93205,20349,32326
93206,41488,52615
93207,34750,46917
93208,88750,92252
93210,50290,65372
93212,34565,44866
93215,36321,47762
93218,24118,40947
93219,23458,31265
93221,48470,70908
93222,45551,63215
93223,32273,43788
93224,42273,60371
93225,44111,62191
93226,58854,75639
93230,53008,69056
93234,29304,37136
93235,32783,36673
93238,58012,74212
93239,61319,60341
93240,26054,44656
93241,31886,41754
93242,40109,53453
93243,60724,55941
93244,36406,46427
93245,51280,68534
93247,34505,51036
93249,33011,39007
93250,34961,41705
93251,40179,53791
93252,31771,55196
93254,32750,40545
93255,29030,45350
93256,27361,40996
93257,39551,54157
93258,20896,36518
93260,24375,43077
93261,29005,38417
93263,40833,54530
93265,60587,71717
93266,24122,31857
93267,33162,49267
93268,46615,60839
93270,27807,44083
93271,43913,67093
93272,34505,47739
93274,45591,60145
93276,45313,53360
93277,51056,67670
93280,39206,47859
93283,29848,37896
93285,31144,48750
93286,41579,52804
93287,65735,63687
93291,50833,70952
93292,51341,63520
93301,30963,47699
93304,35150,46618
93305,29812,42870
93306,52203,69249
93307,34358,44473
93308,41737,61034
93309,47369,62256
93311,87720,109372
93312,93588,107382
93313,64803,73818
93314,96446,119302
93401,52906,77946
93402,57241,76792
93405,41488,60730
93420,66506,85989
93422,66014,82476
93424,77679,73255
93426,57014,69218
93427,62969,88831
93428,63514,88359
93429,47031,65485
93430,52329,87719
93432,53571,81530
93433,49418,65529
93434,45191,53665
93436,54980,69366
93437,61308,67148
93440,63112,88469
93441,95625,131777
93442,52579,68683
93444,61379,83668
93445,50000,57247
93446,64974,84231
93449,67500,78706
93450,42083,40550
93451,54205,76628
93452,34769,54343
93453,51520,76371
93454,52564,70174
93455,72212,86337
93458,43803,57662
93460,91737,129510
93461,59738,79000
93463,66771,91483
93465,83194,99445
93501,32897,42012
93505,57731,63190
93510,89403,103269
93512,26000,29826
93513,47833,62050
93514,51250,64141
93516,30708,39834
93517,60139,56712
93518,28005,42556
93519,28285,26427
93523,53456,60739
93526,51250,61024
93527,52123,81915
93528,13906,18773
93529,50595,53503
93530,11250,16331
93531,66983,67239
93532,54769,64683
93534,35600,46557
93535,42835,52895
93536,70724,83249
93541,53750,57603
93543,57588,65960
93544,52000,101438
93545,31912,51290
93546,65156,75198
93549,42237,55481
93550,38502,50551
93551,85200,97976
93552,56738,65658
93553,48063,62547
93554,26813,44777
93555,62533,73073
93558,25486,58061
93560,56875,66162
93561,60513,72505
93562,30478,52376
93563,67917,77955
93591,39880,52823
93601,61466,82098
93602,59125,68808
93603,51250,59949
93604,50455,67485
93605,82917,85287
93606,16154,28849
93608,31111,38963
93609,43322,54487
93610,39051,54017
93611,77930,93406
93612,37207,48099
93614,50858,73366
93615,25327,35149
93616,31250,44217
93618,38269,48500
93619,104557,131344
93620,34869,45823
93621,31544,46708
93622,32125,46462
93623,24009,28003
93624,33600,38372
93625,42250,68537
93626,26958,78019
93628,66679,75263
93630,42303,54242
93631,58381,75797
93635,45056,57279
93636,75160,89819
93637,49121,59819
93638,36890,48128
93640,25741,31519
93641,42222,104882
93643,48617,56184
93644,44223,56917
93645,93529,186166
93646,27914,40231
93647,32898,42973
93648,32175,42888
93650,31818,39332
93651,90179,85769
93652,22917,36407
93653,46121,73867
93654,47882,61507
93656,45485,53824
93657,49785,62969
93660,26223,36439
93662,43442,55535
93664,96563,109889
93665,33813,42675
93666,24276,33829
93667,53385,69433
93668,38665,38925
93669,6827,27903
93673,38359,52030
93675,63105,61586
93701,18553,25577
93702,26031,34130
93703,28406,37194
93704,48461,67622
93705,32635,42514
93706,29197,42258
93710,42844,59348
93711,63934,91495
93720,77092,91186
93721,11922,25445
93722,54381,64965
93723,69055,87967
93725,35635,45052
93726,32471,42033
93727,46394,60353
93728,32658,43313
93730,120672,136685
93901,49491,64958
93905,42807,52990
93906,55082,71053
93907,68078,82320
93908,113826,138500
93920,57670,103124
93921,62230,86748
93923,98219,145965
93924,92137,131153
93925,60000,86248
93926,51044,58669
93927,52233,62235
93928,77250,79978
93930,42454,61482
93932,94712,105667
93933,53955,68256
93940,67716,86951
93950,70230,100983
93953,102396,148581
93954,43750,50211
93955,52420,67663
93960,47098,66874
93962,80288,90370
94002,105985,139428
94005,80233,99121
94010,118125,205494
94014,71668,86774
94015,78564,92264
94019,103378,140765
94020,92356,113124
94021,93810,80440
94022,182750,267228
94024,167546,243111
94025,119095,183416
94027,236912,413643
94028,180174,326335
94030,92006,116443
94037,147568,141656
94038,81622,118733
94040,101912,134299
94041,88810,125983
94043,100844,126857
94044,96719,117957
94060,60089,76404
94061,81907,107395
94062,126557,198310
94063,54003,74698
94065,132462,160999
94066,81369,98955
94070,125335,155390
94074,153269,128758
94080,78378,94269
94085,92489,108196
94086,100215,119113
94087,122354,151143
94089,88797,100228
94102,24127,54084
94103,41612,77778
94104,80341,183221
94105,170656,239576
94107,120610,150643
94108,36875,79920
94109,63173,98555
94110,84488,120535
94111,103472,144931
94112,71505,89891
94114,122970,162941
94115,85330,130880
94116,84828,122711
94117,103333,132201
94118,82993,129860
94121,70220,103075
94122,86070,107270
94123,121200,162400
94124,49594,69757
94127,131108,165186
94129,144886,199685
94130,38077,55520
94131,100114,133206
94132,66607,90581
94133,53150,93326
94134,60230,78844
94158,83542,112612
94301,134907,219223
94303,89464,130563
94304,101932,156870
94305,51976,121312
94306,111602,161209
94401,72279,93056
94402,115807,161200
94403,95189,120472
94404,114779,140784
94501,70935,94830
94502,105480,141299
94503,81918,97213
94505,111833,123272
94506,176241,210482
94507,163219,224126
94508,72411,92126
94509,54372,68049
94510,89500,110427
94511,36845,60090
94512,64583,99255
94513,89607,103228
94514,51992,72319
94515,62182,89022
94516,100750,106461
94517,121367,147801
94518,73040,89768
94519,67607,83166
94520,47656,61093
94521,84819,101516
94523,81685,105603
94525,81667,93088
94526,128802,170639
94528,162328,295456
94530,87598,106078
94531,88693,99194
94533,56973,69359
94534,91882,110187
94535,53389,62015
94536,92107,109679
94538,87652,101927
94539,144152,162830
94541,57895,71243
94542,80327,107739
94544,59699,74143
94545,71723,89818
94546,75500,91969
94547,100204,111826
94548,85000,84758
94549,137344,181992
94550,102952,124896
94551,98321,114751
94552,132826,161370
94553,76669,94815
94555,114603,132150
94556,133088,172786
94558,72720,97109
94559,58363,80345
94560,86521,98373
94561,77706,89900
94563,166147,233460
94564,74283,93608
94565,55865,69930
94566,120401,146282
94567,58643,83718
94568,113616,129133
94569,94420,98170
94571,61563,71777
94572,68701,83039
94573,61310,70076
94574,81788,126457
94576,40341,53989
94577,64660,80827
94578,49095,61664
94579,75481,86079
94580,71177,81917
94582,138371,163275
94583,121948,136328
94585,70721,81550
94586,85000,144553
94587,82564,99892
94588,127684,147715
94589,56154,65881
94590,40826,54120
94591,73870,87782
94592,107660,124655
94595,58659,89302
94596,78856,103959
94597,88012,108107
94598,121337,150504
94599,66136,107534
94601,39601,51791
94602,68813,100559
94603,40962,53728
94605,57610,75229
94606,37288,50997
94607,34192,56699
94608,55959,76138
94609,56378,74010
94610,73850,111780
94611,107577,161008
94612,30879,50381
94618,123575,169873
94619,78676,106199
94621,30528,40552
94702,59628,79491
94703,58613,84106
94704,30997,54872
94705,96537,158040
94706,81746,104566
94707,136331,177790
94708,145610,188010
94709,59150,82969
94710,60952,80071
94801,38856,57718
94803,76232,99060
94804,49541,64259
94805,66079,76557
94806,52173,64685
94901,76909,116010
94903,86196,121490
94904,102237,194776
94920,132486,230461
94922,28556,39763
94923,77305,124717
94924,73621,132027
94925,113279,160770
94928,57484,68477
94929,44417,63925
94930,93049,124175
94931,64625,82139
94933,71667,106676
94937,51921,95881
94938,96281,97586
94939,93750,153735
94940,28958,40076
94941,121209,182943
94945,83638,116777
94946,113281,157385
94947,81879,110528
94949,74009,118749
94950,21333,46134
94951,93389,122684
94952,75221,96243
94954,81980,91931
94956,38750,89339
94957,187857,295529
94960,108295,155289
94963,79485,110849
94964,106333,112517
94965,89715,133894
94970,107768,101594
94971,42500,75425
94973,88750,124476
95002,73333,86954
95003,83902,105770
95004,67188,104624
95005,69872,91225
95006,75510,93490
95007,149821,161774
95008,88987,108912
95010,55833,83368
95012,52015,60579
95014,130961,156922
95017,67031,83352
95018,72161,97045
95019,38491,57580
95020,82748,101213
95023,69678,84388
95030,154107,226671
95032,120893,163800
95033,126397,164545
95035,98899,113718
95037,95435,128208
95039,42708,59185
95041,120208,86823
95043,62500,83500
95045,55250,72889
95046,108205,143593
95050,69341,92298
95051,101292,117344
95053,133333,190577
95054,116855,132040
95060,62365,89515
95062,62253,79638
95064,60536,69943
95065,86031,113591
95066,108919,124681
95070,167386,221074
95073,80133,100404
95075,60556,90016
95076,56671,73614
95110,68693,92693
95111,57047,70907
95112,49454,73322
95113,61500,86036
95116,47413,63096
95117,67718,90416
95118,90984,110480
95119,103319,113880
95120,152721,175955
95121,85514,105817
95122,57470,66654
95123,90881,105536
95124,106660,129024
95125,102479,139638
95126,72877,97449
95127,70692,91143
95128,70096,97982
95129,107493,132211
95130,98990,118626
95131,108366,124278
95132,98026,110517
95133,72459,87410
95134,114757,122679
95135,128654,142359
95136,87500,107375
95138,145505,184867
95139,98400,112318
95140,166750,143831
95148,107324,125133
95202,15023,24659
95203,37264,49248
95204,43372,56797
95205,33357,42772
95206,42404,52964
95207,38563,53682
95209,72218,83139
95210,38510,49616
95212,59965,79426
95215,40753,60264
95219,75309,104686
95220,60899,98493
95222,51927,65598
95223,62056,73636
95224,20179,27086
95225,19922,40055
95227,99167,160114
95228,61250,81324
95230,46250,83150
95231,36167,40247
95232,58500,83197
95233,50446,54607
95236,76542,94969
95237,46575,64895
95240,40021,58984
95242,64355,84287
95245,62424,80019
95246,39110,56357
95247,48287,78746
95248,21429,30088
95249,41458,52752
95251,78558,75905
95252,62384,74652
95254,72120,115809
95255,36678,43037
95257,45509,58927
95258,72452,92352
95301,48488,69835
95303,44792,73303
95304,78640,101194
95306,39219,63666
95307,45631,61527
95310,37500,55177
95311,42614,51981
95312,51806,62801
95313,35476,40547
95315,44771,54064
95316,67639,82199
95317,33036,81455
95318,102872,109650
95319,24814,30864
95320,55599,73113
95321,45947,57272
95322,40732,58920
95323,55500,68934
95324,51286,79759
95326,54366,76061
95327,44902,57050
95328,41103,47079
95329,58191,72187
95330,63248,70104
